ticket_id,fecha_creacion,fecha_resolucion,categoria,prioridad,sucursal,doctor_asignado_id,horas_resolucion,cumple_sla,reabierto,comentario
16,2024-02-05 17:40:49,2024-02-06 09:00:43,Petición,media,Norte,5,15.3,1,0,"Septiembre jorge sueño. Seis cerca entrar rodríguez. Interior hospital nombre programas.
Relaciones constitución explicó cuya formación. Manera usted puede estructura. Actitud vez experiencia jefe."
17,2024-04-25 11:23:59,2024-04-26 23:19:49,Sugerencia,baja,Norte,20,35.9,1,0,
18,2024-04-05 04:18:26,2024-04-08 12:42:07,Sugerencia,baja,Sur,17,80.4,1,0,
19,2024-09-01 10:47:58,2024-09-03 06:28:40,Petición,media,Norte,4,43.7,1,0,
20,2024-04-24 16:15:02,2024-04-24 23:13:42,Reclamo,alta,Sur,11,7.0,1,0,
21,2024-04-06 22:46:59,2024-04-12 12:57:45,Sugerencia,baja,Norte,1,134.2,1,0,"Cara muerto etapa del posición. N cada grandes nombre corte aspecto hacerlo.
Pasado volvió enfermedad p rafael. Los vuelta cierto medidas diversos hombre mayor. Médico tal da fuera."
22,2024-02-28 23:27:29,2024-02-29 03:26:29,Reclamo,alta,Sur,17,4.0,1,0,
23,2024-06-10 06:28:44,2024-06-11 10:45:21,Petición,media,Norte,10,28.3,1,0,
24,2024-09-14 13:38:48,2024-09-15 00:02:42,Queja,alta,Norte,5,10.4,1,0,
25,2024-07-23 17:32:38,2024-07-25 10:18:12,Petición,media,Norte,20,40.8,1,0,
26,2024-02-10 20:00:54,2024-02-12 05:04:43,Reclamo,alta,Norte,10,33.1,1,0,
27,2024-12-10 22:38:46,2024-12-11 16:10:15,Petición,media,Sur,3,17.5,1,0,"Cuando solo seguir estudio también española corte. Revolución situación cuerpo.
Libros electoral camino posición toda muerto. Larga supuesto razones pero."
28,2024-01-26 08:07:32,2024-01-27 02:33:42,Queja,alta,Norte,5,18.4,1,0,"República ciento máximo menor visita mayor. Cual imposible algunas nada siendo.
Teatro diez buen administración madre sabía. Económica fuego puedo. C tiempo norte proyecto seguridad."
29,2024-04-19 20:19:15,2024-04-20 18:05:58,Queja,alta,Centro,9,21.8,1,0,
30,2024-07-18 23:55:47,2024-07-19 01:11:17,Queja,alta,Este,18,1.3,1,0,
31,2024-01-01 03:33:21,2024-01-02 06:27:00,Reclamo,alta,Oeste,13,26.9,1,0,
32,2024-04-14 17:21:50,2024-04-15 15:21:50,Sugerencia,baja,Sur,17,22.0,1,0,
33,2024-06-05 21:49:12,2024-06-06 01:44:07,Petición,media,Sur,11,3.9,1,0,
34,2024-07-30 16:40:00,2024-08-02 03:47:17,Queja,alta,Norte,1,59.1,0,0,
35,2024-08-26 23:13:16,2024-09-04 08:14:52,Petición,media,Sur,11,201.0,0,1,
36,2024-06-18 17:17:47,2024-06-20 03:07:12,Queja,alta,Este,18,33.8,1,0,"Diez cuadro lenguaje estructura amigos. Hijos lleva iba vía d. Tarde dentro pero centro hacía.
Especial origen muchos diario central unas siete. Área oro considera."
37,2024-02-28 02:13:23,2024-03-01 02:46:51,Sugerencia,baja,Sur,8,48.6,1,0,Cinco gente silencio vino políticos formas hora. Viaje tu éste aparece. Lugar sentido acciones santa.
38,2024-11-21 10:46:47,2024-11-21 12:50:55,Queja,alta,Norte,4,2.1,1,0,
39,2024-11-01 00:58:59,2024-11-06 17:29:19,Sugerencia,baja,Este,14,136.5,1,0,Felipe presenta necesario esos capacidad razón cargo. Éxito prueba has conseguir banco primeras. Manuel ha sangre están llegó mi interior bajo.
40,2024-03-13 18:23:58,2024-03-15 10:32:21,Petición,media,Este,2,40.1,1,0,
41,2024-01-08 10:31:44,2024-01-08 18:44:37,Petición,media,Sur,8,8.2,1,0,
42,2024-02-25 14:52:09,2024-02-26 05:11:51,Queja,alta,Este,14,14.3,1,0,
43,2024-02-16 01:41:44,2024-02-16 04:31:32,Petición,media,Sur,15,2.8,1,0,"Encuentran bueno mis solo teatro pablo formación. Buscar caso sus cosa.
Pacientes dentro superior s sociedad ve. Capaz cantidad hacia j mayo. Época sur bien reunión por ambos."
44,2024-04-11 19:24:41,2024-04-19 10:45:36,Petición,media,Este,2,183.3,0,0,Dejó habría existencia pesetas central. Frente bajo tenían buena aspecto habrá. Cuya mundial tener número seis.
45,2024-02-14 00:56:43,2024-02-14 07:51:48,Queja,alta,Oeste,6,6.9,1,0,
46,2024-03-11 07:02:18,2024-03-15 23:54:11,Sugerencia,baja,Este,2,112.9,1,0,
47,2024-02-13 15:17:58,2024-02-15 19:46:21,Sugerencia,baja,Centro,9,52.5,1,0,Sistema finalmente pueblo izquierda. Rey conseguir octubre equipo creo manos río. Hora animales allá ve.
48,2024-12-12 10:20:26,2024-12-13 05:20:41,Reclamo,alta,Este,14,19.0,1,0,"Les doctor teatro mantener ley. Tampoco pequeña director energía empresas apoyo así.
Hubo nombre esa estar seguir. Que interés podemos cabeza."
49,2024-01-22 18:25:45,2024-01-26 05:35:55,Sugerencia,baja,Norte,5,83.2,1,0,
50,2024-10-16 07:25:34,2024-10-16 23:31:47,Petición,media,Norte,19,16.1,1,0,
51,2024-08-05 04:35:08,2024-08-08 01:19:44,Reclamo,alta,Este,2,68.7,0,0,
52,2024-10-27 20:20:42,2024-10-31 13:14:35,Petición,media,Oeste,6,88.9,1,0,
53,2024-12-02 05:38:47,2024-12-04 14:43:58,Queja,alta,Oeste,13,57.1,0,0,
54,2024-06-09 06:59:03,2024-06-14 22:01:32,Petición,media,Norte,20,135.0,0,1,I semanas calidad central aunque. Dicen corazón españoles. Ella rosa encontrar.
55,2024-08-29 20:13:54,2024-08-30 15:48:41,Queja,alta,Sur,11,19.6,1,0,
56,2024-05-26 03:57:42,2024-05-28 12:38:57,Reclamo,alta,Sur,15,56.7,0,0,
57,2024-10-04 13:58:40,2024-10-04 20:44:58,Petición,media,Sur,3,6.8,1,0,
58,2024-01-14 09:28:00,2024-01-14 15:29:58,Queja,alta,Oeste,12,6.0,1,0,"Través mayor psoe señora tales la. Llegó han dólares natural organización arte porque.
Momento podría aspecto gonzález me origen atrás. Ministro con quién tarde."
59,2024-11-11 08:52:33,2024-11-11 09:50:04,Reclamo,alta,Norte,10,1.0,1,0,Buena plazo público que artículo democracia. Términos aire todas resultado internacional seguir ministerio ninguna.
60,2024-11-13 10:34:29,2024-11-13 21:50:50,Reclamo,alta,Norte,20,11.3,1,0,Próximo cara quedó dirección. E práctica nombre natural. Muestra ocasión industria intereses tampoco trata.
61,2024-02-23 03:11:29,2024-02-24 11:46:52,Petición,media,Este,18,32.6,1,0,
62,2024-07-12 21:01:01,2024-07-13 03:26:44,Queja,alta,Centro,9,6.4,1,0,
63,2024-07-25 13:31:47,2024-07-27 04:10:55,Queja,alta,Centro,9,38.7,1,0,
64,2024-10-16 06:28:14,2024-10-16 17:51:15,Reclamo,alta,Norte,7,11.4,1,0,"Te comercio quizá san. Otras visto último mis del película abril existen.
Arte van respuesta buenos. Compañía cara manos premio adelante forma."
65,2024-04-01 11:29:26,2024-04-03 09:29:01,Sugerencia,baja,Centro,9,46.0,1,0,"País formas son expresión ya española millones armas. Sean tienen esto resultado r tenido.
Modo suerte resultados fuego. Película difícil vida texto ley poner."
66,2024-04-21 02:14:01,2024-04-23 17:59:18,Petición,media,Este,14,63.8,1,0,
67,2024-06-28 19:23:29,2024-06-28 23:14:13,Reclamo,alta,Norte,5,3.8,1,0,
68,2024-02-05 11:24:06,2024-02-14 05:51:26,Sugerencia,baja,Este,18,210.5,0,0,
69,2024-11-19 20:23:29,2024-11-19 21:54:21,Queja,alta,Este,18,1.5,1,0,
70,2024-02-19 12:25:01,2024-02-23 04:56:07,Queja,alta,Este,14,88.5,0,0,Grande miedo sistemas capital médico toda. Bastante volvió alta visita problema compañía. Paz suficiente ciencia menos políticas.
71,2024-08-02 00:42:56,2024-08-03 14:35:39,Queja,alta,Sur,8,37.9,1,0,
72,2024-10-23 18:20:38,2024-10-24 23:34:54,Sugerencia,baja,Norte,20,29.2,1,0,Juez expresión especialmente pueblo líder rafael. Obra pueden sur sus no mantener mano.
73,2024-05-26 14:10:01,2024-05-26 14:19:31,Queja,alta,Oeste,6,0.2,1,0,Momentos sector revolución varios todas mucho elementos. Hacen voz afirmó tenido miembros conocer menos precisamente.
74,2024-08-02 01:26:02,2024-08-09 10:12:47,Sugerencia,baja,Norte,1,176.8,0,1,"Proyecto ellos libro partes dejó dolor valores. Cantidad propia común grandes lucha. Hija puesto cuya presidente dar.
Solución animales vía decía sangre le. Me esos fecha distintas ahí."
75,2024-06-14 13:56:13,2024-06-15 15:22:21,Queja,alta,Centro,9,25.4,1,0,Cosa voz pacientes especialmente juicio tal. Está esa paz espacio importantes idea acuerdo fuerzas.
76,2024-01-27 07:22:52,2024-02-03 18:32:04,Sugerencia,baja,Este,2,179.2,0,1,"Es distintas pregunta fuentes pedro sabía.
Mayor lo voz creación secretario. Siempre exterior unas izquierda pública antonio. Humanos países cultural otro lleva."
77,2024-11-11 10:48:09,2024-11-18 06:02:01,Sugerencia,baja,Oeste,12,163.2,1,0,Debe bien arte nivel hora hay. E llegó esta solo unidos siquiera perdido. Debido sociales puntos palabra. Personal supuesto encima.
78,2024-01-25 01:23:16,2024-01-25 02:52:56,Queja,alta,Sur,8,1.5,1,0,
79,2024-02-04 11:52:19,2024-02-05 00:04:41,Reclamo,alta,Centro,9,12.2,1,0,Incluso ocasión buscar productos debe. B trabajo puesto arriba. Además sabía otra estudios sangre quienes.
80,2024-09-26 14:31:17,2024-09-26 17:38:39,Reclamo,alta,Oeste,12,3.1,1,0,
81,2024-07-11 04:25:01,2024-07-12 20:47:55,Reclamo,alta,Norte,1,40.4,1,0,Momento sabe sea principios sola costa poder alto. C escuela septiembre actividades llevar programas. Banco propio pasó joven g.
82,2024-02-03 11:24:39,2024-02-04 15:10:37,Queja,alta,Norte,19,27.8,1,0,
83,2024-11-28 08:01:24,2024-11-29 12:11:49,Petición,media,Norte,20,28.2,1,0,Precios especial servicio puerta hubiera esa. Me precios fútbol muestra enero. Ser asimismo mes principios.
84,2024-04-16 07:32:33,2024-04-16 09:11:08,Reclamo,alta,Este,14,1.6,1,0,
85,2024-01-01 13:42:12,2024-01-03 04:51:39,Sugerencia,baja,Norte,19,39.2,1,0,
86,2024-05-08 18:40:06,2024-05-10 18:14:32,Sugerencia,baja,Norte,1,47.6,1,0,He existencia recursos creo jamás conjunto. Palabra niños futuro ayuda máximo último su. Internacional conocimiento única sola.
87,2024-12-27 00:42:53,2024-12-28 07:14:28,Queja,alta,Oeste,12,30.5,1,0,Último negro tener persona práctica señora mayoría. Atrás anterior ciento mediante. Español ciudad autoridades méxico conciencia público.
88,2024-01-16 11:01:52,2024-01-17 09:34:32,Reclamo,alta,Norte,20,22.5,1,0,Términos hora conseguir encuentran e oficial dios creación. Propios otras importantes práctica. Mucho cambio siquiera.
89,2024-02-12 23:35:10,2024-02-14 23:57:53,Reclamo,alta,Sur,17,48.4,0,1,
90,2024-10-09 20:41:19,2024-10-10 11:32:18,Queja,alta,Norte,7,14.8,1,0,"N maría profesional investigación ellos. Julio pp imagen durante. Existencia sabía resto cabeza cierto pasado.
Militar casa punto lugar mantener le. Miguel niño j quien electoral él hijo."
91,2024-12-07 04:18:12,2024-12-07 07:26:41,Queja,alta,Norte,20,3.1,1,0,
92,2024-03-23 07:07:10,2024-03-26 17:23:27,Petición,media,Norte,10,82.3,1,0,
93,2024-12-11 19:57:08,2024-12-13 05:28:56,Reclamo,alta,Sur,15,33.5,1,0,
94,2024-07-08 09:32:40,2024-07-12 18:41:35,Sugerencia,baja,Oeste,6,105.1,1,0,
95,2024-04-13 16:15:47,2024-04-15 08:08:31,Reclamo,alta,Sur,3,39.9,1,0,Tipo instituto hora hubo cuyo. Jefe veces pacientes toda.
96,2024-09-19 04:51:31,2024-09-19 23:12:07,Reclamo,alta,Sur,8,18.3,1,0,
97,2024-09-24 23:35:23,2024-09-27 15:09:21,Petición,media,Sur,8,63.6,1,0,
98,2024-11-10 04:24:35,2024-11-11 19:11:52,Petición,media,Sur,15,38.8,1,0,
99,2024-12-22 00:16:38,2024-12-22 00:53:38,Queja,alta,Oeste,13,0.6,1,0,
100,2024-02-17 17:30:41,2024-02-18 02:38:49,Petición,media,Norte,4,9.1,1,0,
101,2024-05-15 05:55:55,2024-05-15 09:51:07,Sugerencia,baja,Este,2,3.9,1,0,"Tuvo niño mujeres final. Mi deseo entrar base. Aspectos corte valores manera.
Explicó niño hacerlo serie día tema cara. Ejemplo m mi comunidad contenido."
102,2024-05-16 05:13:02,2024-05-18 19:22:41,Petición,media,Sur,15,62.2,1,0,
103,2024-12-26 04:15:35,2024-12-26 13:43:32,Reclamo,alta,Sur,15,9.5,1,0,Mitad dentro militar calidad muy pues. Película juego todas aparece madrid reforma. Sea torno modelo dicho pesetas técnica.
104,2024-10-26 21:45:10,2024-10-30 09:09:39,Sugerencia,baja,Este,18,83.4,1,0,
105,2024-03-29 09:38:30,2024-04-09 03:52:08,Sugerencia,baja,Sur,15,258.2,0,1,
106,2024-07-27 23:42:56,2024-07-29 07:01:18,Sugerencia,baja,Sur,8,31.3,1,0,
107,2024-09-12 16:33:47,2024-09-13 04:05:03,Reclamo,alta,Sur,8,11.5,1,0,
108,2024-03-10 15:16:14,2024-03-14 06:32:02,Petición,media,Norte,5,87.3,1,0,
109,2024-06-09 23:29:52,2024-06-10 04:38:46,Queja,alta,Norte,7,5.1,1,0,
110,2024-06-01 20:30:55,2024-06-02 04:26:41,Sugerencia,baja,Este,14,7.9,1,0,Dirección características toma tribunal estructura. Santa juego importancia términos. Crisis seguridad cuenta esfuerzo aquella libro psoe.
111,2024-05-18 14:07:15,2024-05-20 14:30:12,Sugerencia,baja,Norte,19,48.4,1,0,
112,2024-12-23 18:12:22,2024-12-24 11:08:01,Sugerencia,baja,Este,16,16.9,1,0,
113,2024-10-25 16:59:11,2024-11-08 04:27:04,Sugerencia,baja,Este,14,323.5,0,0,
114,2024-12-14 10:22:25,2024-12-16 01:46:02,Reclamo,alta,Este,14,39.4,1,0,
115,2024-10-20 16:26:04,2024-10-26 09:15:19,Sugerencia,baja,Oeste,6,136.8,1,0,"Podría quería esas. Siete sean nuestra técnica meses cuales.
Hacer construcción estar mi. Ley lado mundo proyecto mes argentina hoy."
116,2024-12-06 21:09:43,2024-12-13 06:18:03,Petición,media,Oeste,13,153.1,0,0,
117,2024-01-14 06:20:13,2024-01-15 16:26:03,Queja,alta,Sur,15,34.1,1,0,
118,2024-11-01 05:08:24,2024-11-01 10:00:21,Reclamo,alta,Norte,7,4.9,1,0,
119,2024-10-14 14:32:06,2024-10-26 21:13:03,Sugerencia,baja,Centro,9,294.7,0,1,Junio del jóvenes caso j. Miembros república pública dicen hombre.
120,2024-03-31 12:53:32,2024-04-04 19:10:09,Sugerencia,baja,Norte,1,102.3,1,0,
121,2024-04-05 04:28:44,2024-04-06 22:23:23,Reclamo,alta,Sur,8,41.9,1,0,"Texto dan manos participación un tomar realizar. Existencia bueno medio radio.
Buenos concepto fuerza nadie. Estaban ninguna vuelve puerta."
122,2024-11-24 02:16:14,2024-12-02 02:36:55,Petición,media,Norte,1,192.3,0,1,
123,2024-06-11 14:25:42,2024-06-11 22:14:26,Queja,alta,Sur,8,7.8,1,0,
124,2024-01-21 07:22:10,2024-01-21 10:23:28,Queja,alta,Sur,15,3.0,1,0,"Diferentes manuel estudios plaza falta como madre. Humanos común muy.
Encuentra así vio diversas. Sobre fondo carrera vino imágenes autor ambos. Consejo asimismo calle aunque buscar temas."
125,2024-06-03 19:21:41,2024-06-04 01:50:10,Queja,alta,Norte,20,6.5,1,0,Final van muchas pone baja. Este línea debido obstante. San donde podemos.
126,2024-07-09 06:09:33,2024-07-11 05:43:22,Petición,media,Oeste,6,47.6,1,0,
127,2024-05-30 22:47:14,2024-06-05 05:10:57,Petición,media,Norte,10,126.4,0,1,
128,2024-04-10 10:20:54,2024-04-12 11:24:12,Queja,alta,Sur,3,49.1,0,0,
129,2024-07-22 04:51:02,2024-07-22 05:02:18,Reclamo,alta,Norte,20,0.2,1,0,Objetivo actual necesidad aquellas. Llegado tuvo diferentes días sabe texto. San ley asociación nuevo puntos vez barcelona. Vamos españa sociedad cualquier reunión material.
130,2024-10-02 07:56:14,2024-10-04 12:04:57,Petición,media,Oeste,12,52.1,1,0,
131,2024-11-29 18:30:20,2024-12-01 11:42:04,Petición,media,Sur,17,41.2,1,0,
132,2024-09-10 21:41:10,2024-09-11 23:04:14,Sugerencia,baja,Este,16,25.4,1,0,"Centros seguir características música banco ellas. Total contenido uso precio quedó.
Acción idea cuales países decir. Allá experiencia cuarto tierra juan. Tampoco volvió nuevas tomar políticas."
133,2024-10-25 13:38:39,2024-10-26 04:34:13,Sugerencia,baja,Norte,5,14.9,1,0,"Demás pese sentido.
Estados existe así. Esfuerzo amigos una apenas papel su quedó menor.
Carácter derecha salud. Forma gran todas sistema."
134,2024-01-21 11:34:00,2024-01-21 22:40:17,Reclamo,alta,Norte,20,11.1,1,0,
135,2024-01-04 10:47:00,2024-01-18 09:30:14,Sugerencia,baja,Sur,15,334.7,0,1,
136,2024-03-03 13:19:12,2024-03-03 21:51:38,Queja,alta,Sur,3,8.5,1,0,
137,2024-07-01 10:45:34,2024-07-05 06:24:27,Sugerencia,baja,Norte,19,91.6,1,0,
138,2024-06-07 09:02:54,2024-06-11 12:44:02,Petición,media,Este,16,99.7,1,0,
139,2024-10-13 07:08:11,2024-10-13 19:16:34,Queja,alta,Oeste,12,12.1,1,0,
140,2024-07-25 12:54:14,2024-07-28 09:45:12,Reclamo,alta,Este,18,68.8,0,0,
141,2024-11-09 03:43:56,2024-11-25 22:15:56,Sugerencia,baja,Este,16,402.5,0,1,
142,2024-02-04 19:22:10,2024-02-06 10:15:19,Sugerencia,baja,Sur,15,38.9,1,0,
143,2024-07-11 18:40:28,2024-07-12 12:26:39,Queja,alta,Oeste,13,17.8,1,0,
144,2024-01-16 12:45:12,2024-01-16 21:31:38,Reclamo,alta,Este,16,8.8,1,0,
145,2024-03-18 04:00:48,2024-03-18 12:42:44,Reclamo,alta,Oeste,12,8.7,1,0,
146,2024-11-12 20:42:14,2024-11-12 21:28:08,Reclamo,alta,Sur,8,0.8,1,0,
147,2024-11-19 22:58:32,2024-11-23 06:54:13,Petición,media,Este,18,79.9,1,0,
148,2024-06-22 13:22:57,2024-06-23 07:44:49,Queja,alta,Norte,7,18.4,1,0,
149,2024-01-17 23:52:58,2024-01-18 01:19:12,Reclamo,alta,Norte,4,1.4,1,0,
150,2024-01-28 03:17:20,2024-01-28 10:30:28,Reclamo,alta,Oeste,6,7.2,1,0,Contrario este propuesta hemos rosa respuesta llevar. Propuesta dicho manuel sol parís existen.
151,2024-07-20 20:36:37,2024-07-22 19:31:13,Queja,alta,Centro,9,46.9,1,0,
152,2024-05-17 00:44:25,2024-05-17 07:40:32,Reclamo,alta,Norte,5,6.9,1,0,"Sur gobierno secretario tenían viaje esa toda espera. Modelo trata forma y.
Total todavía esto he consejo voy. Estado día palabra rey programas oposición.
Idea cultural baja estudios flores."
153,2024-08-16 03:17:42,2024-08-16 14:53:57,Petición,media,Norte,1,11.6,1,0,
154,2024-08-04 17:44:38,2024-08-07 16:13:53,Sugerencia,baja,Sur,11,70.5,1,0,
155,2024-03-12 09:00:08,2024-04-05 07:54:22,Sugerencia,baja,Norte,4,574.9,0,0,
156,2024-02-09 01:04:40,2024-02-09 18:13:56,Petición,media,Norte,5,17.2,1,0,
157,2024-04-21 04:48:14,2024-04-22 12:51:19,Reclamo,alta,Sur,3,32.1,1,0,
158,2024-12-12 07:41:36,2024-12-19 18:22:34,Sugerencia,baja,Norte,20,178.7,0,1,
159,2024-05-01 06:13:22,2024-05-02 19:28:24,Sugerencia,baja,Norte,10,37.3,1,0,Película proyecto iba sala intereses animales. Casos productos padres posibilidad. Buscar generales aquel padres. Arriba mayo paso don llegado española hermano.
160,2024-08-19 04:01:25,2024-08-20 12:48:11,Reclamo,alta,Norte,19,32.8,1,0,
161,2024-03-29 08:06:19,2024-03-30 18:46:35,Petición,media,Norte,7,34.7,1,0,
162,2024-08-28 09:53:15,2024-08-31 02:25:41,Petición,media,Oeste,6,64.5,1,0,
163,2024-09-18 01:28:14,2024-09-19 00:40:52,Queja,alta,Norte,1,23.2,1,0,
164,2024-10-15 00:18:44,2024-10-18 03:11:01,Sugerencia,baja,Norte,10,74.9,1,0,
165,2024-01-27 23:56:04,2024-01-28 01:48:58,Reclamo,alta,Sur,15,1.9,1,0,
166,2024-12-27 14:32:14,2024-12-29 12:36:56,Reclamo,alta,Norte,19,46.1,1,0,Estoy sociales toma autoridades conjunto mantener total cama. Podemos posibilidades hacer final partes aquí decía. J existen ciento llevar peor salud las.
167,2024-04-17 19:59:10,2024-04-19 19:13:51,Sugerencia,baja,Norte,4,47.2,1,0,
168,2024-12-01 23:59:47,2024-12-02 04:06:05,Reclamo,alta,Norte,5,4.1,1,0,
169,2024-02-01 08:05:16,2024-02-01 09:11:11,Reclamo,alta,Norte,20,1.1,1,0,
170,2024-10-30 10:20:36,2024-10-31 04:34:15,Reclamo,alta,Sur,15,18.2,1,0,
171,2024-09-23 12:07:13,2024-09-29 03:58:05,Sugerencia,baja,Centro,9,135.8,1,0,
172,2024-05-07 03:21:32,2024-05-07 04:20:30,Petición,media,Norte,20,1.0,1,0,
173,2024-05-05 05:15:50,2024-05-05 20:46:02,Reclamo,alta,Norte,20,15.5,1,0,
174,2024-10-13 06:12:18,2024-10-14 01:15:37,Petición,media,Centro,9,19.1,1,0,Segunda país quedó julio donde era espera. París haciendo existen. Muerto carta justicia seguir.
175,2024-07-11 14:47:00,2024-07-12 15:50:21,Queja,alta,Este,16,25.1,1,0,
176,2024-08-21 06:35:28,2024-08-21 12:06:13,Reclamo,alta,Oeste,6,5.5,1,0,
177,2024-08-05 21:27:52,2024-08-11 16:40:46,Sugerencia,baja,Sur,3,139.2,1,0,
178,2024-08-11 03:03:42,2024-08-11 16:28:33,Reclamo,alta,Norte,4,13.4,1,0,
179,2024-08-02 06:09:40,2024-08-16 22:56:39,Sugerencia,baja,Norte,10,352.8,0,0,
180,2024-05-06 23:49:11,2024-05-07 03:07:10,Reclamo,alta,Centro,9,3.3,1,0,Grupo plaza felipe grado función boca primero eran. José realizar diez base. Libre relaciones efecto quiero.
181,2024-11-02 13:27:07,2024-11-04 22:00:49,Sugerencia,baja,Sur,17,56.6,1,0,
182,2024-06-27 09:00:27,2024-06-27 20:53:01,Sugerencia,baja,Este,14,11.9,1,0,
183,2024-01-31 04:11:40,2024-02-14 10:48:43,Sugerencia,baja,Sur,15,342.6,0,1,
184,2024-01-12 06:20:23,2024-01-14 16:22:17,Reclamo,alta,Sur,15,58.0,0,0,"Este tarde sería libros fuerte. Resto estos presidente características distintos méxico unidad.
Alguien destino antes s d director.
Ojos pregunta tan señora unos habla situación."
185,2024-04-11 05:21:15,2024-04-11 11:58:19,Queja,alta,Oeste,6,6.6,1,0,
186,2024-08-27 09:39:04,2024-09-01 04:50:51,Sugerencia,baja,Sur,3,115.2,1,0,"Algunos varios final ocasiones tema. Administración siglo idea julio.
Justicia alguna obstante solo suficiente señor. Zonas hija sí."
187,2024-01-06 22:37:28,2024-01-12 22:52:08,Petición,media,Sur,15,144.2,0,0,
188,2024-12-05 05:49:55,2024-12-06 02:52:21,Reclamo,alta,Sur,17,21.0,1,0,
189,2024-02-27 15:56:08,2024-03-02 01:10:14,Sugerencia,baja,Este,16,81.2,1,0,
190,2024-06-15 15:05:55,2024-06-17 05:55:50,Sugerencia,baja,Norte,7,38.8,1,0,
191,2024-12-28 00:30:10,2024-12-28 02:38:18,Queja,alta,Sur,3,2.1,1,0,"Explicó armas contenido manos temas. Sí creo eso norte suelo. Antonio largo ambiente.
Bastante enfermedad la nuestros esto ley. Del padres vuelta vuelve libertad esto."
192,2024-09-04 03:43:14,2024-09-17 12:09:29,Sugerencia,baja,Sur,11,320.4,0,0,
193,2024-01-25 23:17:08,2024-01-28 08:25:05,Reclamo,alta,Norte,19,57.1,0,0,
194,2024-07-24 14:25:51,2024-07-29 06:41:13,Sugerencia,baja,Oeste,12,112.3,1,0,Mediante quedó única política. Alta arte usted aun madrid ayer. Propia empresas enero final encuentro final. Cantidad importantes cultural compañía sueño pudo manos dólares.
195,2024-12-14 09:00:29,2024-12-16 19:17:46,Sugerencia,baja,Sur,15,58.3,1,0,"Respuesta con acuerdo. Siguientes hijo unidos momentos.
Precisamente eso quiero alta alguna propio. Distintas animales tal señor plan serán muestra. Propio alto jamás eran."
196,2024-12-13 20:25:18,2024-12-14 06:14:56,Queja,alta,Norte,19,9.8,1,0,Nuestras valores aquí mucho práctica siglo tendrá. Iba empresas pública. Momentos administración otro ninguna total.
197,2024-08-27 07:57:39,2024-09-02 07:59:57,Sugerencia,baja,Este,2,144.0,1,0,
198,2024-03-22 22:45:14,2024-04-05 12:57:34,Sugerencia,baja,Oeste,13,326.2,0,0,
199,2024-03-31 14:47:07,2024-04-07 03:58:15,Petición,media,Norte,5,157.2,0,0,"Mira civil algo plaza qué. Película máximo dan bien bueno. Lejos ministro tan cara solo.
Programas modelo sociedad fuerza r somos riesgo. Humano centro a dirección lado esas fútbol."
200,2024-03-27 22:20:53,2024-04-04 13:51:39,Sugerencia,baja,Norte,4,183.5,0,0,
201,2024-06-28 14:10:22,2024-06-29 14:31:39,Queja,alta,Sur,3,24.4,1,0,"Espera tres distintas presenta. Barcelona cama edad actitud salir prensa oficial.
Superior ni pocos momento. Hombres hemos creación habrá campaña. Grupos mí tipos están cierta nada."
202,2024-04-21 00:55:23,2024-04-21 03:11:42,Reclamo,alta,Norte,20,2.3,1,0,
203,2024-09-14 05:12:50,2024-09-14 09:14:31,Reclamo,alta,Este,18,4.0,1,0,
