ticket_id,paciente_id,fecha_encuesta,nps,csat,comentario
89,PAC-89,2024-02-15,7,3,
90,PAC-90,2024-10-12,8,4,
91,PAC-91,2024-12-09,8,3,Para propuesta septiembre espacio instituciones media.
92,PAC-92,2024-04-02,4,3,
93,PAC-93,2024-12-18,8,4,
94,PAC-94,2024-07-19,2,3,
95,PAC-95,2024-04-16,9,4,Hechos congreso cada duda opinión n.
96,PAC-96,2024-09-23,8,4,
97,PAC-97,2024-10-02,10,4,
98,PAC-98,2024-11-13,9,4,
99,PAC-99,2024-12-25,0,2,
100,PAC-100,2024-02-25,5,3,
101,PAC-101,2024-05-19,9,4,
102,PAC-102,2024-05-20,8,3,
103,PAC-103,2024-12-28,10,5,
104,PAC-104,2024-11-06,6,4,Estuvo vista oposición tierra.
105,PAC-105,2024-04-14,9,3,Cara quien existencia sin va importancia empresa.
106,PAC-106,2024-08-05,2,3,
107,PAC-107,2024-09-20,7,5,
108,PAC-108,2024-03-18,9,5,
109,PAC-109,2024-06-17,8,4,Diferencia estudio produce días como.
110,PAC-110,2024-06-08,9,4,Supuesto unidos pública mí cuenta.
111,PAC-111,2024-05-21,4,3,Antes uso mayor técnica diciembre clase.
112,PAC-112,2024-12-30,8,5,
113,PAC-113,2024-11-10,7,3,Dirección política rey pequeño razones.
114,PAC-114,2024-12-17,10,5,Forma méxico esta tiempo texto.
115,PAC-115,2024-10-27,8,4,
116,PAC-116,2024-12-20,6,2,Jefe nuestro tomar internacional carlos.
117,PAC-117,2024-01-22,6,4,
118,PAC-118,2024-11-02,10,4,
119,PAC-119,2024-10-30,8,3,
120,PAC-120,2024-04-08,9,5,
121,PAC-121,2024-04-10,8,4,Creo somos ciento menor quiero.
122,PAC-122,2024-12-09,8,3,Práctica real dicho cambios edad cual ir.
123,PAC-123,2024-06-12,9,4,Mira cambios toma cultural marco comenzó bajo.
124,PAC-124,2024-01-23,8,4,
125,PAC-125,2024-06-10,10,5,
126,PAC-126,2024-07-12,7,4,
127,PAC-127,2024-06-12,9,3,
128,PAC-128,2024-04-14,10,3,
129,PAC-129,2024-07-27,2,2,
130,PAC-130,2024-10-05,2,2,
131,PAC-131,2024-12-06,8,5,
132,PAC-132,2024-09-13,10,5,
133,PAC-133,2024-10-31,8,4,
134,PAC-134,2024-01-27,4,4,Posibilidades cosas cambios.
135,PAC-135,2024-01-25,6,3,Presencia hacia llamado punto cuadro podía asimismo.
136,PAC-136,2024-03-10,8,5,Medio boca total algo puesto costa universidad.
137,PAC-137,2024-07-06,5,4,Hecho frente demasiado.
138,PAC-138,2024-06-12,10,5,
139,PAC-139,2024-10-20,9,5,
140,PAC-140,2024-08-02,8,3,
141,PAC-141,2024-11-29,5,3,Mesa del nada.
142,PAC-142,2024-02-08,8,5,
143,PAC-143,2024-07-18,10,5,Interior zonas b son.
144,PAC-144,2024-01-21,0,3,
145,PAC-145,2024-03-24,7,4,
146,PAC-146,2024-11-13,10,5,Clase sin escuela sol.
147,PAC-147,2024-11-25,2,3,
148,PAC-148,2024-06-26,6,5,
149,PAC-149,2024-01-24,10,4,
150,PAC-150,2024-01-29,7,4,
151,PAC-151,2024-07-25,9,5,Importancia vamos familia pregunta elecciones.
152,PAC-152,2024-05-22,4,3,
153,PAC-153,2024-08-20,6,4,
154,PAC-154,2024-08-11,6,4,Existen grupos hacía operación él época.
155,PAC-155,2024-04-06,8,4,
156,PAC-156,2024-02-16,0,3,
157,PAC-157,2024-04-24,9,4,
158,PAC-158,2024-12-22,7,4,Tienen hacerlo capacidad manera hemos poner defensa.
159,PAC-159,2024-05-07,9,4,
160,PAC-160,2024-08-23,6,3,Estamos embargo había cuerpo violencia grande izquierda única.
161,PAC-161,2024-04-04,8,4,Decía humano peso cabeza todas.
162,PAC-162,2024-09-03,10,4,
163,PAC-163,2024-09-21,8,5,
164,PAC-164,2024-10-24,9,4,
165,PAC-165,2024-02-04,7,5,Siguiente proyectos diez del asunto momento hora.
166,PAC-166,2025-01-05,5,4,
167,PAC-167,2024-04-23,7,4,
168,PAC-168,2024-12-03,7,4,
169,PAC-169,2024-02-06,9,5,
170,PAC-170,2024-11-01,10,5,
171,PAC-171,2024-10-03,0,2,Universidad propuesta tipo veces acuerdo.
172,PAC-172,2024-05-10,6,4,
173,PAC-173,2024-05-11,6,4,
174,PAC-174,2024-10-20,3,3,Bien podemos pasa.
175,PAC-175,2024-07-19,1,3,
176,PAC-176,2024-08-22,9,4,
177,PAC-177,2024-08-17,10,5,Socialista ayuda características pues uso grupo.
178,PAC-178,2024-08-18,8,4,
179,PAC-179,2024-08-22,10,4,
180,PAC-180,2024-05-14,9,5,
181,PAC-181,2024-11-05,10,4,
182,PAC-182,2024-06-29,4,3,Ambos parte instituciones sistema según investigación.
183,PAC-183,2024-02-21,0,1,
184,PAC-184,2024-01-18,9,3,Obras plan mar días persona solamente.
185,PAC-185,2024-04-16,8,4,Imposible particular comenzó república económico.
186,PAC-186,2024-09-05,8,5,
187,PAC-187,2024-01-13,2,2,
188,PAC-188,2024-12-07,6,4,
189,PAC-189,2024-03-07,7,4,Instituciones santa ex fue hijos.
190,PAC-190,2024-06-18,9,4,
191,PAC-191,2025-01-04,8,4,
192,PAC-192,2024-09-18,1,1,
193,PAC-193,2024-02-01,0,1,
194,PAC-194,2024-07-31,8,5,Éste nuestro verdad según particular.
195,PAC-195,2024-12-20,8,5,
196,PAC-196,2024-12-20,6,4,
197,PAC-197,2024-09-05,9,4,
198,PAC-198,2024-04-12,0,2,
199,PAC-199,2024-04-14,10,4,
200,PAC-200,2024-04-10,5,2,
201,PAC-201,2024-07-03,10,4,
202,PAC-202,2024-04-26,10,4,Encuentro puede puso mes gobierno rosa efectos.
203,PAC-203,2024-09-17,5,4,
204,PAC-204,2024-08-19,9,3,
205,PAC-205,2024-03-24,10,3,
206,PAC-206,2024-11-09,7,4,
207,PAC-207,2024-02-29,10,5,Tema hombres antonio jorge porque cuatro dio nivel.
208,PAC-208,2024-09-22,10,5,Dicho ya miembros prueba.
209,PAC-209,2024-12-25,6,5,
210,PAC-210,2024-05-28,4,4,
211,PAC-211,2024-01-21,1,3,
212,PAC-212,2024-04-28,8,5,
213,PAC-213,2024-11-01,8,4,Esa proyectos algún centro.
214,PAC-214,2024-03-10,8,4,
215,PAC-215,2024-12-20,8,4,Sistema mundo mí hombres.
216,PAC-216,2024-11-10,10,5,Pueda i pedro plazo mesa puede dicen instituciones.
217,PAC-217,2024-07-28,7,3,
218,PAC-218,2024-07-25,7,4,
219,PAC-219,2024-02-12,9,3,
220,PAC-220,2024-01-28,9,5,Medida santiago recuerdo sociales riesgo sé.
221,PAC-221,2024-04-15,9,4,Favor viene pueden izquierda poner unos oro principio.
222,PAC-222,2024-12-05,8,4,Ocasiones tenían pone guerra tenido cambio investigación principios.
223,PAC-223,2024-01-17,9,4,Todas hora llegado valores les encima.
224,PAC-224,2024-09-16,7,4,Uno demás orden.
225,PAC-225,2024-12-18,10,5,Señor entre vía régimen natural.
226,PAC-226,2024-07-01,9,5,
227,PAC-227,2024-05-01,10,4,
228,PAC-228,2024-02-13,8,4,Banco camino propios gran estilo madre políticas.
229,PAC-229,2024-07-03,10,3,
230,PAC-230,2024-11-21,8,4,
231,PAC-231,2024-08-29,10,5,Julio sentido lenguaje bueno entre millones.
232,PAC-232,2024-08-10,7,4,
233,PAC-233,2024-03-19,5,3,Educación cierto dirección tú política.
234,PAC-234,2024-01-14,4,3,Había datos cara ver contrario democracia.
235,PAC-235,2024-03-05,7,3,
236,PAC-236,2024-04-24,2,2,
237,PAC-237,2024-02-02,7,4,Semanas ministerio habían puedo habría.
238,PAC-238,2024-08-20,8,5,E sociales madre.
239,PAC-239,2024-11-10,4,3,
240,PAC-240,2024-04-10,10,4,
241,PAC-241,2024-12-19,9,4,Nos él respuesta tengo señor estado.
242,PAC-242,2024-12-09,2,2,Través asociación sus será.
243,PAC-243,2024-02-09,10,3,
244,PAC-244,2024-05-25,9,4,
245,PAC-245,2024-02-08,7,3,Quiero existe hija producción.
246,PAC-246,2024-11-22,8,3,Victoria estos forma hasta bueno.
247,PAC-247,2024-01-17,3,2,
248,PAC-248,2024-05-22,8,3,Que hija mediante ella esto especial.
249,PAC-249,2024-08-19,9,3,Pueblo encuentran congreso victoria condiciones clase.
250,PAC-250,2024-03-16,10,4,
251,PAC-251,2024-11-20,8,4,
252,PAC-252,2024-04-16,8,5,
253,PAC-253,2024-02-25,6,2,
254,PAC-254,2024-01-28,9,4,
255,PAC-255,2024-08-22,10,5,Y función dice estudios.
256,PAC-256,2024-08-07,3,3,
257,PAC-257,2024-08-24,10,3,
258,PAC-258,2024-07-03,6,4,
259,PAC-259,2024-03-13,9,5,
260,PAC-260,2024-02-19,9,4,Puede sistema buenos situación.
261,PAC-261,2024-01-11,8,4,
262,PAC-262,2024-05-04,10,4,Social opinión propio quien tres tengo comunicación.
263,PAC-263,2024-11-06,10,4,Otra estructura cultural riesgo.
264,PAC-264,2024-03-13,8,5,
265,PAC-265,2024-08-19,8,3,
266,PAC-266,2024-01-20,8,5,Mitad diversos saber pie iglesia duda favor.
267,PAC-267,2024-02-20,5,4,Llamado dolor importantes líder todos.
268,PAC-268,2024-11-09,2,2,
269,PAC-269,2024-01-25,4,3,
270,PAC-270,2024-12-01,3,3,
271,PAC-271,2024-12-25,10,4,Secretario ningún defensa hombres e.
272,PAC-272,2024-02-24,7,4,
273,PAC-273,2024-12-15,10,4,
274,PAC-274,2024-02-15,8,3,
275,PAC-275,2024-04-27,9,4,Decía estado donde análisis.
276,PAC-276,2024-12-27,8,4,
277,PAC-277,2024-10-10,9,4,
278,PAC-278,2024-01-14,2,3,Aspectos mil resultado atrás dar tras podrá.
279,PAC-279,2024-05-30,7,4,
280,PAC-280,2024-07-29,9,4,Aquellas dijo alguien blanca.
281,PAC-281,2024-08-26,9,3,Pasar actitud veces dijo.
282,PAC-282,2024-09-23,8,4,
283,PAC-283,2024-10-07,9,5,
284,PAC-284,2024-07-27,8,3,Ministro técnica había sur distintas tú.
285,PAC-285,2024-06-19,8,4,Situación sí semana precisamente tomar.
286,PAC-286,2024-03-28,7,3,
287,PAC-287,2024-08-23,9,5,
288,PAC-288,2024-09-22,9,4,
289,PAC-289,2024-05-20,6,4,
290,PAC-290,2024-08-09,4,4,
291,PAC-291,2024-10-01,9,4,Será ii muchas río modelo.
292,PAC-292,2024-08-29,9,4,
293,PAC-293,2024-12-07,9,4,
294,PAC-294,2024-05-28,10,5,
295,PAC-295,2024-02-18,9,5,
296,PAC-296,2024-06-26,8,5,Cuenta destino ésta viejo.
297,PAC-297,2024-07-30,2,2,
298,PAC-298,2024-07-23,6,4,Vuelta proyecto área aumento.
299,PAC-299,2024-03-07,9,5,
300,PAC-300,2024-08-16,7,5,
301,PAC-301,2024-11-08,2,3,
302,PAC-302,2024-12-22,6,3,
303,PAC-303,2024-08-26,0,3,Vamos pocos seguro régimen qué encuentra modelo producción.
304,PAC-304,2024-04-12,8,4,
305,PAC-305,2024-10-06,9,3,
306,PAC-306,2024-11-22,8,4,Va hermano paciente hablar centro menos pacientes.
307,PAC-307,2024-07-17,10,5,
308,PAC-308,2024-10-03,8,4,Habían puerta algún destino sería grandes espacio.
309,PAC-309,2024-02-06,8,4,María internacional aparece a debido capital sector méxico.
310,PAC-310,2024-09-03,7,4,
311,PAC-311,2024-12-01,10,4,
312,PAC-312,2024-06-03,9,4,Juan valor serán hacia atención país.
313,PAC-313,2024-02-09,10,5,
314,PAC-314,2024-06-24,10,3,
315,PAC-315,2024-08-09,5,3,
316,PAC-316,2024-06-25,8,5,Día local se antonio segundo superior.
317,PAC-317,2024-08-13,6,4,
318,PAC-318,2024-02-04,6,4,
319,PAC-319,2024-04-07,8,5,Pueden siquiera respuesta pedro.
320,PAC-320,2024-05-21,8,5,Chile tiempos mantener doctor saber ministerio.
321,PAC-321,2024-08-17,6,4,
322,PAC-322,2024-08-04,5,4,Condiciones podemos paz semanas.
323,PAC-323,2024-09-15,8,5,
324,PAC-324,2024-02-15,8,4,Dice tenido carácter todo.
325,PAC-325,2024-12-20,7,2,
326,PAC-326,2024-09-12,1,3,
327,PAC-327,2024-09-03,5,3,
328,PAC-328,2024-08-20,8,4,Santa república jorge visto segunda tipo mayo.
329,PAC-329,2024-10-26,10,4,
330,PAC-330,2024-09-27,3,4,G autoridades primero hacerlo sino.
331,PAC-331,2024-06-30,8,4,Ver y mi estado ante.
332,PAC-332,2024-01-13,10,3,
333,PAC-333,2024-06-04,7,4,
334,PAC-334,2024-02-21,7,5,Fuego cuyo problema origen.
335,PAC-335,2024-11-09,8,4,Radio debía martín lugar señora entrar.
336,PAC-336,2024-01-31,5,4,
337,PAC-337,2024-03-11,0,2,
338,PAC-338,2024-03-28,9,4,Vida había televisión vuelta habrá gracias.
339,PAC-339,2024-05-04,6,4,
340,PAC-340,2024-04-21,8,4,
341,PAC-341,2024-04-17,8,5,
342,PAC-342,2024-11-20,8,4,
343,PAC-343,2024-06-15,3,3,Particular obras chile elecciones especie importante.
344,PAC-344,2024-04-09,9,4,Octubre espera santiago pero éxito casos.
345,PAC-345,2024-09-19,8,5,Además dónde paciente causa un menor.
346,PAC-346,2024-09-02,7,4,Cuestión atención partir siguiente.
347,PAC-347,2024-11-08,8,4,Jorge incluso existencia.
348,PAC-348,2024-03-25,9,4,
349,PAC-349,2024-02-04,9,4,
350,PAC-350,2024-08-24,10,5,Grupo segundo hermano muerte teatro alguien.
351,PAC-351,2024-01-30,7,4,
352,PAC-352,2024-06-24,10,4,
353,PAC-353,2024-02-13,8,5,
354,PAC-354,2024-03-04,7,4,
355,PAC-355,2024-02-06,4,3,
356,PAC-356,2024-08-15,7,4,
357,PAC-357,2024-09-04,9,4,Última desarrollo hacia si consejo apoyo.
358,PAC-358,2024-07-24,10,4,
359,PAC-359,2024-05-30,9,3,Realizar paso mar le.
360,PAC-360,2024-02-04,8,4,Segunda jorge segunda alrededor.
361,PAC-361,2024-01-15,10,3,
362,PAC-362,2024-11-02,8,4,Centro oposición segundo opinión niveles tales.
363,PAC-363,2024-09-19,9,5,
364,PAC-364,2024-04-14,9,5,
365,PAC-365,2024-08-03,9,3,Sector hospital mayoría le familia obras.
366,PAC-366,2024-01-11,9,4,
367,PAC-367,2024-10-17,0,2,Encuentro congreso profesional argentina parte concepto.
368,PAC-368,2024-05-28,8,3,
369,PAC-369,2024-04-25,1,2,Unas están casos cuarto conseguir tuvo.
370,PAC-370,2024-01-21,7,4,Muerto paciente día mayor rodríguez carlos fuerzas.
371,PAC-371,2024-07-18,8,4,
372,PAC-372,2024-02-13,8,5,
373,PAC-373,2024-08-22,6,3,
374,PAC-374,,6,4,
375,PAC-375,2024-11-22,9,4,
376,PAC-376,2024-09-28,7,4,
377,PAC-377,2024-10-04,9,3,Campo europa mayo popular.
378,PAC-378,2024-06-07,6,4,Esfuerzo pero población idea.
379,PAC-379,2024-11-15,3,3,Acciones manuel consecuencia historia sectores encuentro.
380,PAC-380,2024-03-07,9,5,
381,PAC-381,2024-02-26,5,3,Llegó esos pesar dinero aquellas tenido amor.
382,PAC-382,2024-01-28,9,4,Muy lejos sector dinero cuestión parecía imágenes barcelona.
383,PAC-383,2024-06-09,4,3,Sí control premio tribunal ante momento son.
384,PAC-384,2024-03-20,8,3,Vivir este marzo izquierda lado ambos encuentro.
385,PAC-385,2024-03-08,1,2,
386,PAC-386,2024-11-29,10,4,
387,PAC-387,2024-05-11,5,4,
388,PAC-388,2024-02-09,9,4,
389,PAC-389,2024-12-26,6,4,
390,PAC-390,2024-07-16,7,3,
391,PAC-391,,8,3,
392,PAC-392,2024-03-23,9,5,Fue existencia premio.
393,PAC-393,2024-01-22,9,3,
394,PAC-394,2024-05-23,1,2,
395,PAC-395,2024-11-09,7,3,
396,PAC-396,2024-09-21,6,3,
397,PAC-397,2024-08-16,9,4,
398,PAC-398,2024-04-26,9,4,
399,PAC-399,2024-11-02,10,5,
400,PAC-400,2024-09-26,10,5,
401,PAC-401,2024-09-05,10,5,Tiene como mal cuya asociación.
402,PAC-402,2024-05-30,6,4,Trata meses nacional es.
403,PAC-403,2024-06-04,10,5,
404,PAC-404,2024-08-20,3,2,
405,PAC-405,2024-07-23,6,4,
406,PAC-406,,10,3,
407,PAC-407,2024-05-25,6,3,Político puerto miembros luis recursos razón.
408,PAC-408,2024-05-10,7,4,
409,PAC-409,2024-10-27,8,3,
410,PAC-410,2024-01-08,7,4,Libro seis lado título.
411,PAC-411,2024-07-26,8,3,
412,PAC-412,2024-10-19,10,4,
413,PAC-413,2024-06-24,10,4,Día compañía blanco somos.
414,PAC-414,2024-11-13,5,3,Tiempos alto salida.
415,PAC-415,2024-04-20,8,4,Personas calidad policía juez mitad.
416,PAC-416,2024-02-23,10,5,Junio público reforma humanos de creo dejó mujer.
417,PAC-417,2024-04-13,8,4,
418,PAC-418,2024-11-11,3,3,Tan elecciones primera entonces práctica título.
419,PAC-419,2024-10-28,7,4,
420,PAC-420,2024-11-29,7,4,
421,PAC-421,2024-03-31,10,3,Español principio medio santa primeras vino.
422,PAC-422,2024-08-13,9,4,Algunos nueva pregunta contra n corazón carne.
423,PAC-423,2024-02-21,8,4,
424,PAC-424,2024-12-26,9,3,Visto metros dio material ojos tenemos aire acto.
425,PAC-425,2024-02-03,8,4,
426,PAC-426,2024-08-16,10,5,Señor habría antonio mediante.
427,PAC-427,2024-05-23,8,4,
428,PAC-428,2024-10-12,8,3,Realizar casa teatro sería.
429,PAC-429,2024-07-03,5,4,Hubo pronto hacía partido.
430,PAC-430,2024-09-01,5,4,
431,PAC-431,2024-01-03,4,3,
432,PAC-432,2024-01-29,8,4,
433,PAC-433,2024-05-27,5,3,
434,PAC-434,2024-02-28,9,4,
435,PAC-435,2024-10-29,8,4,
436,PAC-436,2024-12-25,8,5,
437,PAC-437,2024-10-11,6,4,
438,PAC-438,2024-08-17,4,3,Música aumento fuego flores pues capacidad enero.
439,PAC-439,2024-02-08,6,3,Mayoría éste él salud creo energía.
440,PAC-440,2024-04-30,10,5,
441,PAC-441,2024-11-25,4,3,
442,PAC-442,2024-08-19,5,3,Él nuestro hay llama arriba.
443,PAC-443,2024-01-04,10,5,
444,PAC-444,2024-08-24,9,5,
445,PAC-445,2024-05-27,10,4,Primer gracias temas allí tribunal.
446,PAC-446,2024-09-19,1,2,
447,PAC-447,2024-05-22,9,4,Términos relación señor diez jorge vino.
448,PAC-448,2024-06-19,2,3,
449,PAC-449,2024-12-20,10,5,Ojos haber realidad jefe era nuevas.
450,PAC-450,2024-08-28,0,3,Estado verdad c eso puso ir uso mil.
451,PAC-451,2024-06-13,10,4,
452,PAC-452,2024-05-09,10,5,
453,PAC-453,2024-10-14,10,4,
454,PAC-454,2024-12-19,8,2,
455,PAC-455,2024-12-05,9,5,
456,PAC-456,2024-02-28,10,4,
457,PAC-457,2024-12-26,9,5,
458,PAC-458,2024-09-24,10,4,Calle posibilidades soy volvió fácil siete.
459,PAC-459,2024-07-28,3,4,
460,PAC-460,2024-05-17,9,4,
461,PAC-461,2024-06-13,9,5,
462,PAC-462,2024-12-30,9,5,
463,PAC-463,2024-11-17,8,5,Cierto sala muy cara.
464,PAC-464,2024-03-16,6,4,
465,PAC-465,2024-04-04,8,3,
466,PAC-466,2024-11-09,5,3,Mundial caso producto tomar libros posibilidades.
467,PAC-467,2024-06-02,0,1,
468,PAC-468,2024-03-28,8,4,Nosotros aquellos partes salir mirada.
469,PAC-469,2024-11-16,5,4,Vuelve segundo oposición.
470,PAC-470,2024-08-01,4,3,Solución mismos del estuvo todo los nuevas.
471,PAC-471,2024-04-01,8,4,
472,PAC-472,2024-08-31,8,3,
473,PAC-473,2024-01-29,9,4,Juego eran sabe prueba próximo eso cuarto respecto.
474,PAC-474,2024-11-12,10,4,
475,PAC-475,2024-08-01,8,4,
476,PAC-476,2024-12-29,9,4,Imposible clase local aquel sin pueda palabra.
477,PAC-477,2024-09-13,6,4,
478,PAC-478,2024-10-19,9,5,
479,PAC-479,2024-04-09,6,2,
480,PAC-480,2024-07-26,0,3,Particular final seguro ese paciente hacía paz aquellos.
481,PAC-481,2024-04-29,7,3,Entrar manera porque cámara problema.
482,PAC-482,2024-06-25,4,3,
483,PAC-483,2024-01-16,8,4,Control debía blanco salud.
484,PAC-484,2024-01-26,8,3,
485,PAC-485,2024-08-28,3,3,
486,PAC-486,2024-08-21,4,2,
487,PAC-487,2024-10-16,9,5,
488,PAC-488,2024-02-25,1,3,Diferencia tenemos propuesta.
489,PAC-489,2024-03-17,10,3,Soy primeros ambos período.
490,PAC-490,2024-09-27,6,3,
491,PAC-491,2024-09-29,7,3,Calidad juez programa serie dicho veces.
492,PAC-492,2024-04-14,10,4,
493,PAC-493,2024-12-07,7,5,
494,PAC-494,2024-08-22,9,4,
495,PAC-495,2024-02-28,2,3,
496,PAC-496,2024-10-09,3,4,Este nos esta del todo decisión.
497,PAC-497,2024-10-30,6,4,
498,PAC-498,2024-08-15,6,3,
499,PAC-499,2024-06-12,7,4,Base el ciento ni.
500,PAC-500,2024-06-26,8,3,Casa productos enero octubre.
501,PAC-501,2024-06-21,9,4,Sigue en régimen dos han falta padre.
502,PAC-502,2024-09-04,7,3,Estructura solución posible don estoy español.
503,PAC-503,2024-08-24,3,3,Nombre ya posibilidad análisis película encuentro hija trabajo.
504,PAC-504,2024-04-20,0,1,
505,PAC-505,2024-12-28,9,4,Aquí curso hubo.
506,PAC-506,2024-09-27,10,4,
507,PAC-507,2024-06-21,9,4,Nuestras sus mejores abril marzo tribunal.
508,PAC-508,2024-03-28,5,2,Jóvenes política ambos ellos encuentro práctica.
509,PAC-509,2024-12-04,9,3,Crecimiento futuro hecho programa consumo.
510,PAC-510,2024-05-16,8,4,Largo gobierno libertad electoral política unidos paso.
511,PAC-511,2024-08-12,8,4,Hijos permite mundial ambiente teoría siglo autor.
512,PAC-512,2024-11-13,4,3,Pensar reunión autoridades europa fernando central.
513,PAC-513,2024-11-27,8,3,
514,PAC-514,2024-08-14,8,3,
515,PAC-515,2024-03-31,9,4,Zona diversas boca ayuda presente vino.
516,PAC-516,2024-10-06,7,4,
517,PAC-517,2024-05-02,10,4,Cargo pacientes quienes si gobierno.
518,PAC-518,2024-05-15,10,3,Iba ninguna por pie oro.
519,PAC-519,2024-11-22,7,3,
520,PAC-520,2024-08-23,10,5,Imágenes república edad plan tanto oficial tenemos.
521,PAC-521,2024-08-07,10,4,Ambiente desarrollo fecha duda situación español.
522,PAC-522,2024-07-10,1,3,Cuando ambos país tan actividades mayores participación.
523,PAC-523,2024-05-31,8,4,Segundo embargo realizar voz hoy creo personal.
524,PAC-524,2024-11-28,8,3,Casos me río últimos técnica plan sé amigos.
525,PAC-525,2024-04-01,10,4,El flores régimen comunicación derechos.
526,PAC-526,2024-10-21,9,3,
527,PAC-527,2024-04-05,8,4,
528,PAC-528,2024-09-22,9,4,Tomar dólares vuelta siquiera.
529,PAC-529,2024-11-26,10,4,Asociación dejar diversas francia ir.
530,PAC-530,2024-06-23,2,1,
531,PAC-531,2024-10-28,9,4,Prensa evitar padres.
532,PAC-532,2024-08-22,9,3,
533,PAC-533,2024-06-16,10,4,Pues unidad estos gracias economía historia dan.
534,PAC-534,2024-06-30,8,5,
